Sl.No.,BO_MFClientID,DOB,InvestType,Paymentmode,FundType,MFNo,MFInvestment,Tenure,TenureInDays,Gender,ADDITIONALPRODUCTSPURCHASED,RFMID,Brokerage_Per_Day,Status
1,239064,00:00.0,SIP,CHEQUE,ONGOING,1,813661.1841,108943,108943,M,Y,425,7.468687149,Completed
2,100570,00:00.0,LUMSUM,CHEQUE,NFO,7,583032.2624,190864,27266,F,Y,522,21.38312413,Continuing
3,28585,00:00.0,SIP,CHEQUE,ONGOING,9,1772155.955,380451,42272,M,Y,152,41.92269009,Continuing
4,9941,00:00.0,SIP,CHEQUE,ONGOING,41,14220398.99,2503198,61053,M,N,153,232.9189227,Continuing
5,34799,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,4,414899.1513,8204,2051,M,Y,543,202.2911513,Continuing
6,102779,00:00.0,LUMSUM,CHEQUE,ONGOING,7,1739787.761,491510,70215,F,N,151,24.778007,Completed
7,9042,00:00.0,LUMSUM,CHEQUE,ONGOING,18,7205576.552,2403135,133507,M,Y,152,53.97152623,Completed
8,147645,00:00.0,SIP,CHEQUE,ONGOING,8,823967.9484,697283,87160,M,Y,324,9.453510193,Completed
9,606961,00:00.0,LUMSUM,CHEQUE,NFO,5,190523.6043,32387,6477,M,Y,525,29.41540903,Continuing
10,165569,00:00.0,LUMSUM,CHEQUE,NFO,9,846975.1229,17086,1898,M,N,154,446.2461132,Continuing
11,147069,00:00.0,LUMSUM,CHEQUE,ONGOING,4,314264.6964,41985,10496,F,Y,152,29.94137732,Continuing
12,652612,00:00.0,SIP,CHEQUE,NFO,1,34206.1845,46348,46348,M,Y,422,0.738029354,Continuing
13,82045,00:00.0,LUMSUM,CHEQUE,ONGOING,4,792553.2912,27283,6820,F,Y,524,116.21016,Continuing
14,83350,00:00.0,SIP,CHEQUE,ONGOING,12,2761677.415,277028,23085,M,Y,525,119.6308172,Continuing
15,818,1899-12-30 00:00:00.000,LUMSUM,CHEQUE,ONGOING,1,553087.3378,23199,23199,M,Y,151,23.84099909,Continuing
